polymer_number,monomer_1,monomer_1_mass_mg,monomer_2,monomer_2_mass_mg,monomer_other,base_mass_mg_total,base_reagents,base_volume_ml_total,catalyst_mass_mg_total,catalyst_reagents,catalyst_volume_ml_total,co-catalyst_mass_mg_total,co-catalyst_reagents,co-catalyst_volume_ml_total,initiator_mass_mg_total,initiator_reagents,initiator_volume_ml_total,quenching agent_mass_mg_total,quenching agent_reagents,quenching agent_volume_ml_total,solvent_mass_mg_total,solvent_reagents,solvent_volume_ml_total,successful
48,Oxalyl Chloride,487.647,"(R)-(+)-1,1′-Binaphthyl-2,2′-diol",1000,,181.601,NaOH,0,,,,,,,,,,,,,0,Water; Diethyl Ether,15,0
49,Oxalyl Chloride,639.68,"4,4′-Thiodiphenol",1000,,238.219,NaOH,0,,,,,,,,,,,,,0,Water; Diethyl Ether,15,0
50,Oxalyl Chloride,704.384,Guaiacol glyceryl ether,1000,,262.315,NaOH,0,,,,,,,,,,,,,0,Water; Diethyl Ether,15,0
51,Oxalyl Chloride,1142.67,"2,2′-Thiodiethanol",1000,,425.535,NaOH,0,,,,,,,,,,,,,0,Water; Diethyl Ether,15,0
52,Oxalyl Chloride,955.667,Dianhydro-D-glucitol,1000,,355.894,NaOH,0,,,,,,,,,,,,,0,Water; Diethyl Ether,15,0
53,Oxalyl Chloride,1584.64,"cis-2-Butene-1,4-diol",1000,,590.127,NaOH,0,,,,,,,,,,,,,0,Water; Diethyl Ether,15,0
54,Oxalyl Chloride,749.815,"Biphenyl-2,2′-diol",1000,,279.234,NaOH,0,,,,,,,,,,,,,0,Water; Diethyl Ether,15,0
55,Oxalyl Chloride,1834.97,"1,3-propanediol",1000,,683.35,NaOH,0,,,,,,,,,,,,,0,Water; Diethyl Ether,15,0
56,Oxalyl Chloride,1340.6,"1,5-pentanediol",1000,,499.242,NaOH,0,,,,,,,,,,,,,0,Water; Diethyl Ether,15,0
57,Oxalyl Chloride,871.228,"1,9-nonanediol",1000,,324.448,NaOH,0,,,,,,,,,,,,,0,Water; Diethyl Ether,15,0
58,Oxalyl Chloride,1340.6,"2,2-Dimethyl-1,3-propanediol",1000,,499.242,NaOH,0,,,,,,,,,,,,,0,Water; Diethyl Ether,15,0
59,Oxalyl Chloride,1834.97,"1,2-propanediol",1000,,683.35,NaOH,0,,,,,,,,,,,,,0,Water; Diethyl Ether,15,0
60,Oxalyl Chloride,1549.28,"2,3-Butanediol",1000,,576.959,NaOH,0,,,,,,,,,,,,,0,Water; Diethyl Ether,15,0
61,Oxalyl Chloride,1202.01,"1,4-cyclohexanediol",1000,,447.631,NaOH,0,,,,,,,,,,,,,0,Water; Diethyl Ether,15,0
62,Oxalyl Chloride,1315.71,diethylene glycol,1000,,489.975,NaOH,0,,,,,,,,,,,,,0,Water; Diethyl Ether,15,0
63,Oxalyl Chloride,929.766,triethylene glycol,1000,,346.248,NaOH,0,,,,,,,,,,,,,0,Water; Diethyl Ether,15,0
64,Oxalyl Chloride,501.664,"4,4′-Sulfonylbis(2-methylphenol)",1000,,186.821,NaOH,0,,,,,,,,,,,,,0,Water; Diethyl Ether,15,0
65,Oxalyl Chloride,905.173,2-Hydroxyethyl disulfide,1000,,337.09,NaOH,0,,,,,,,,,,,,,0,Water; Diethyl Ether,15,0
66,Oxalyl Chloride,1040.62,dipropylene glycol,1000,,387.53,NaOH,0,,,,,,,,,,,,,0,Water; Diethyl Ether,15,0
67,Oxalyl Chloride,726.257,Tripropylene glycol,1000,,270.461,NaOH,0,,,,,,,,,,,,,0,Water; Diethyl Ether,15,0
68,Oxalyl Chloride,1268.03,Resorcinol,1000,,472.22,NaOH,0,,,,,,,,,,,,,0,Water; Diethyl Ether,15,0
69,Oxalyl Chloride,871.718,"Naphthalene-1,5-diol",1000,,324.631,NaOH,0,,,,,,,,,,,,,0,Water; Diethyl Ether,15,0
70,Oxalyl Chloride,1621.84,"2-Butyne-1,4-diol",1000,,603.979,NaOH,0,,,,,,,,,,,,,0,Water; Diethyl Ether,15,0
71,Oxalyl Chloride,611.604,Bisphenol A,1000,,227.763,NaOH,0,,,,,,,,,,,,,0,Water; Diethyl Ether,15,0
72,Oxalyl Chloride,557.889,Bis(4-hydroxyphenyl) Sulfone,1000,,207.76,NaOH,0,,,,,,,,,,,,,0,Water; Diethyl Ether,15,0
73,Oxalyl Chloride,2249.44,ethylene glycol,1000,,837.701,NaOH,0,,,,,,,,,,,,,0,Water; Diethyl Ether,15,0
74,Oxalyl Chloride,1549.27,"1,4-Butanediol",1000,,576.952,NaOH,0,,,,,,,,,,,,,0,Water; Diethyl Ether,15,0
75,Oxalyl Chloride,1181.5,"1,6-Hexanediol",1000,,439.995,NaOH,0,,,,,,,,,,,,,0,Water; Diethyl Ether,15,0
76,Oxalyl Chloride,1549.3,"2-Methyl-1,3-propanediol",1000,,576.965,NaOH,0,,,,,,,,,,,,,0,Water; Diethyl Ether,15,0
77,Oxalyl Chloride,871.282,"2-Butyl-2-ethyl-1,3-propanediol",1000,,324.469,NaOH,0,,,,,,,,,,,,,0,Water; Diethyl Ether,15,0
78,Oxalyl Chloride,1181.44,"3-methyl-1,5-pentanediol",1000,,439.974,NaOH,0,,,,,,,,,,,,,0,Water; Diethyl Ether,15,0
79,Succinyl Chloride,492.011,"1,3-Bis[2-(4-hydroxyphenyl)-2-propyl]benzene",1000,,150.074,NaOH,0,,,,,,,,,,,,,0,Water; Diisopropyl Ether,15,0
80,Succinyl Chloride,1606.36,diethylene glycol,1000,,489.975,NaOH,0,,,,,,,,,,,,,0,Water; Diisopropyl Ether,15,0
81,Succinyl Chloride,1135.16,triethylene glycol,1000,,346.248,NaOH,0,,,,,,,,,,,,,0,Water; Diisopropyl Ether,15,0
82,Isophthaloyl Chloride,785.267,"4,4′-Isopropylidenebis(2,6-dimethylphenol)",1000,,361.581,pyridine,0,,,,,,,,,,,,,0,DMF; Diisopropyl Ether,15,0
83,Isophthaloyl Chloride,1689.27,"2,2-diethyl-1,3-propanediol",1000,,777.837,pyridine,0,,,,,,,,,,,,,0,DMF; Diisopropyl Ether,15,0
84,Isophthaloyl Chloride,1115.27,"4,4'-Dihydroxydiphenylmethane",1000,,513.534,pyridine,0,,,,,,,,,,,,,0,DMF; Diisopropyl Ether,15,0
85,Isophthaloyl Chloride,637.316,"4,4′-(9-Fluorenylidene)diphenol",1000,,293.456,pyridine,0,,,,,,,,,,,,,0,DMF; Diisopropyl Ether,15,0
86,Isophthaloyl Chloride,1487.13,triethylene glycol,1000,,684.757,pyridine,0,,,,,,,,,,,,,0,DMF; Diisopropyl Ether,15,0
87,Isophthaloyl Chloride,1664.43,dipropylene glycol,1000,,766.399,pyridine,0,,,,,,,,,,,,,0,DMF; Diisopropyl Ether,15,0
88,Isophthaloyl Chloride,1161.62,Tripropylene glycol,1000,,534.876,pyridine,0,,,,,,,,,,,,,0,DMF; Diisopropyl Ether,15,0
89,Isophthaloyl Chloride,1126.64,Guaiacol glyceryl ether,1000,,518.767,pyridine,0,,,,,,,,,,,,,0,DMF; Diisopropyl Ether,15,0
90,Isophthaloyl Chloride,1199.3,"Biphenyl-2,2′-diol",1000,,552.226,pyridine,0,,,,,,,,,,,,,0,DMF; Diisopropyl Ether,15,0
91,Isophthaloyl Chloride,2594.08,"2-Butyne-1,4-diol",1000,,1194.46,pyridine,0,,,,,,,,,,,,,0,DMF; Diisopropyl Ether,15,0
92,Isophthaloyl Chloride,1447.79,2-Hydroxyethyl disulfide,1000,,666.645,pyridine,0,,,,,,,,,,,,,0,DMF; Diisopropyl Ether,15,0
93,Oxalyl Chloride,1223.26,"1,5-hexadiene-3,5-diol",1000,,455.547,NaOH,0,,,,,,,,,,,,,0,Water; Diisopropyl Ether,15,0
94,Oxalyl Chloride,820.106,"trans-p-menth-6-ene-2,8diol",1000,,305.41,NaOH,0,,,,,,,,,,,,,0,Water; Diisopropyl Ether,15,0
95,Oxalyl Chloride,616.832,"2,4,7,9-Tetramethyl-5-decyne-4,7-diol",1000,,229.71,NaOH,0,,,,,,,,,,,,,0,Water; Diisopropyl Ether,15,0
96,Oxalyl Chloride,981.878,"2,5-dimethyl-3-hexyne-2,5-diol",1000,,365.655,NaOH,0,,,,,,,,,,,,,0,Water; Diisopropyl Ether,15,0
98,Succinyl Chloride,1001.27,"trans-p-menth-6-ene-2,8diol",1000,,305.41,NaOH,0,,,,,,,,,,,,,0,Water; Diisopropyl Ether,15,0
99,Succinyl Chloride,753.096,"2,4,7,9-Tetramethyl-5-decyne-4,7-diol",1000,,229.71,NaOH,0,,,,,,,,,,,,,0,Water; Diisopropyl Ether,15,0
100,Succinyl Chloride,1198.78,"2,5-dimethyl-3-hexyne-2,5-diol",1000,,365.655,NaOH,0,,,,,,,,,,,,,0,Water; Diisopropyl Ether,15,0
101,Adipoyl Chloride,1000,Dianhydro-D-glucitol,725.663,,258.259,NaOH,0,,,,,,,,,,,,,0,Water; Cyclohexane,15,0
102,Adipoyl Chloride,1000,"trans-p-menth-6-ene-2,8diol",845.614,,258.259,NaOH,0,,,,,,,,,,,,,0,Water; Cyclohexane,15,0
103,Azelaoyl chloride,1000,"1,5-hexadiene-3,5-diol",460.946,,209.983,NaOH,0,,,,,,,,,,,,,0,Water; Hexanes,15,0
104,Adipoyl Chloride,1000,"1,5-hexadiene-3,5-diol",566.921,,258.259,NaOH,0,,,,,,,,,,,,,0,Water; Cyclohexane,15,0
105,Sebacoyl Chloride,2304.66,"1,5-hexadiene-3,5-diol",1000,,455.547,NaOH,0,,,,,,,,,,,,,0,Water; Hexanes,15,0
