Unsuccessful Combination Attempt Number,Reagent Role,Reagent,Mass,Volume
,,,mg,mL
,Monomer,"trans-p-menth-6-ene-2,8diol",905.2095407,
,Base,pyridine,546.7412457,
,Solvent,DMF,,7.5
,Solvent,Diisopropyl Ether,,7.5
,,,,
45,Monomer,Sebacoyl Chloride,742.2935832,
,Monomer,"Phenol Red, Free Acid",1000,
,Base,NaOH,259.5888594,
,Solvent,Water,,7.5
,Solvent,hexanes,,7.5
,,,,
46,Monomer,Oxalyl Chloride,398.4560943,
,Monomer,"4,4′-(9-Fluorenylidene)diphenol",1000,
,Base,NaOH,148.3864616,
,Solvent,Water,,7.5
,Solvent,Diethyl Ether,,7.5
,,,,
47,Monomer,Oxalyl Chloride,520.3018446,
,Monomer,"4,4′-Cyclohexylidenebisphenol",1000,
,Base,NaOH,193.7622508,
,Solvent,Water,,7.5
,Solvent,Diethyl Ether,,7.5
,,,,
48,Monomer,Oxalyl Chloride,487.646689,
,Monomer,"(R)-(+)-1,1′-Binaphthyl-2,2′-diol",1000,
,Base,NaOH,181.6013551,
,Solvent,Water,,7.5
,Solvent,Diethyl Ether,,7.5
,,,,
49,Monomer,Oxalyl Chloride,639.6802126,
,Monomer,"4,4′-Thiodiphenol",1000,
,Base,NaOH,238.2191781,
,Solvent,Water,,7.5
,Solvent,Diethyl Ether,,7.5
,,,,
50,Monomer,Oxalyl Chloride,704.3840178,
,Monomer,Guaiacol glyceryl ether,1000,
,Base,NaOH,262.3151044,
,Solvent,Water,,7.5
,Solvent,Diethyl Ether,,7.5
,,,,
51,Monomer,Oxalyl Chloride,1142.67125,
,Monomer,"2,2′-Thiodiethanol",1000,
,Base,NaOH,425.5348228,
,Solvent,Water,,7.5
,Solvent,Diethyl Ether,,7.5
,,,,
52,Monomer,Oxalyl Chloride,955.6673511,
,Monomer,Dianhydro-D-glucitol,1000,
,Base,NaOH,355.8939083,
,Solvent,Water,,7.5
,Solvent,Diethyl Ether,,7.5
,,,,
53,Monomer,Oxalyl Chloride,1584.644195,
,Monomer,"cis-2-Butene-1,4-diol",1000,
,Base,NaOH,590.1271138,
,Solvent,Water,,7.5
,Solvent,Diethyl Ether,,7.5
,,,,
54,Monomer,Oxalyl Chloride,749.8147253,
,Monomer,"Biphenyl-2,2′-diol",1000,
,Base,NaOH,279.2336609,
,Solvent,Water,,7.5
,Solvent,Diethyl Ether,,7.5
,,,,
55,Monomer,Oxalyl Chloride,1834.971744,
,Monomer,"1,3-propanediol",1000,
,Base,NaOH,683.3499803,
,Solvent,Water,,7.5
,Solvent,Diethyl Ether,,7.5
,,,,
56,Monomer,Oxalyl Chloride,1340.595295,
,Monomer,"1,5-pentanediol",1000,
,Base,NaOH,499.2424388,
,Solvent,Water,,7.5
,Solvent,Diethyl Ether,,7.5
,,,,
57,Monomer,Oxalyl Chloride,871.2280045,
,Monomer,"1,9-nonanediol",1000,
,Base,NaOH,324.4483964,
,Solvent,Water,,7.5
,Solvent,Diethyl Ether,,7.5
,,,,
58,Monomer,Oxalyl Chloride,1340.595295,
,Monomer,"2,2-Dimethyl-1,3-propanediol",1000,
,Base,NaOH,499.2424388,
,Solvent,Water,,7.5
,Solvent,Diethyl Ether,,7.5
,,,,
59,Monomer,Oxalyl Chloride,1834.971744,
,Monomer,"1,2-propanediol",1000,
,Base,NaOH,683.3499803,
,Solvent,Water,,7.5
,Solvent,Diethyl Ether,,7.5
,,,,
60,Monomer,Oxalyl Chloride,1549.283741,
,Monomer,"2,3-Butanediol",1000,
,Base,NaOH,576.9587555,
,Solvent,Water,,7.5
,Solvent,Diethyl Ether,,7.5
,,,,
61,Monomer,Oxalyl Chloride,1202.006228,
,Monomer,"1,4-cyclohexanediol",1000,
,Base,NaOH,447.6313789,
,Solvent,Water,,7.5
,Solvent,Diethyl Ether,,7.5
,,,,
62,Monomer,Oxalyl Chloride,1315.708632,
,Monomer,diethylene glycol,1000,
,Base,NaOH,489.9745571,
,Solvent,Water,,7.5
,Solvent,Diethyl Ether,,7.5
,,,,
63,Monomer,Oxalyl Chloride,929.7662649,
,Monomer,triethylene glycol,1000,
,Base,NaOH,346.248252,
,Solvent,Water,,7.5
,Solvent,Diethyl Ether,,7.5
,,,,
64,Monomer,Oxalyl Chloride,501.6635527,
,Monomer,"4,4′-Sulfonylbis(2-methylphenol)",1000,
,Base,NaOH,186.8212849,
,Solvent,Water,,7.5
,Solvent,Diethyl Ether,,7.5
,,,,
65,Monomer,Oxalyl Chloride,905.1734198,
,Monomer,2-Hydroxyethyl disulfide,1000,
,Base,NaOH,337.0897893,
,Solvent,Water,,7.5
,Solvent,Diethyl Ether,,7.5
,,,,
66,Monomer,Oxalyl Chloride,1040.619201,
,Monomer,dipropylene glycol,1000,
,Base,NaOH,387.5302781,
,Solvent,Water,,7.5
,Solvent,Diethyl Ether,,7.5
,,,,
67,Monomer,Oxalyl Chloride,726.2574772,
,Monomer,Tripropylene glycol,1000,
,Base,NaOH,270.4608583,
,Solvent,Water,,7.5
,Solvent,Diethyl Ether,,7.5
,,,,
68,Monomer,Oxalyl Chloride,1268.031968,
,Monomer,Resorcinol,1000,
,Base,NaOH,472.2195986,
,Solvent,Water,,7.5
,Solvent,Diethyl Ether,,7.5
,,,,
69,Monomer,Oxalyl Chloride,871.7175501,
,Monomer,"Naphthalene-1,5-diol",1000,
,Base,NaOH,324.6307049,
,Solvent,Water,,7.5
,Solvent,Diethyl Ether,,7.5
,,,,
70,Monomer,Oxalyl Chloride,1621.841067,
,Monomer,"2-Butyne-1,4-diol",1000,
,Base,NaOH,603.9793609,
,Solvent,Water,,7.5
,Solvent,Diethyl Ether,,7.5
,,,,
71,Monomer,Oxalyl Chloride,611.603662,
,Monomer,Bisphenol A,1000,
,Base,NaOH,227.7633712,
,Solvent,Water,,7.5
,Solvent,Diethyl Ether,,7.5
,,,,
