polymer_number,monomer_1,monomer_1_mass_mg,monomer_2,monomer_2_mass_mg,monomer_other,base_mass_mg_total,base_reagents,base_volume_ml_total,catalyst_mass_mg_total,catalyst_reagents,catalyst_volume_ml_total,co-catalyst_mass_mg_total,co-catalyst_reagents,co-catalyst_volume_ml_total,initiator_mass_mg_total,initiator_reagents,initiator_volume_ml_total,quenching agent_mass_mg_total,quenching agent_reagents,quenching agent_volume_ml_total,solvent_mass_mg_total,solvent_reagents,solvent_volume_ml_total,solubility,physical_state,biodegradability,solubility_label,biodegradability_label
113,Adipoyl Chloride,922.4,"4,4′-Thiodiphenol",1000,,238.22,NaOH,0,,,,,,,,,,,,,0,Water; cylcohexane,15,yes,crystalline,no,1,0
114,Sebacoyl Chloride,1000,Dianhydro-D-glucitol,555.4,,197.66,NaOH,0,,,,,,,,,,,,,0,Water; Hexanes,15,yes,fluid,yes,1,1
115,Sebacoyl Chloride,1000,Guaiacol glyceryl ether,753.53,,197.66,NaOH,0,,,,,,,,,,,,,0,Water; Hexanes,15,yes,crystalline,yes,1,1
116,Sebacoyl Chloride,1051.08,Bis(4-hydroxyphenyl) Sulfone,1000,,207.76,NaOH,0,,,,,,,,,,,,,0,Water; Hexanes,15,no,solid,yes,0,1
117,Terephthaloyl Chloride,1000,Tripropylene glycol,860.86,,232.83,NaOH,0,,,,,,,,,,,,,0,Water; Diethyl Ether,15,no,solid,yes,0,1
118,Terephthaloyl Chloride,1000,Resorcinol,493.01,,232.83,NaOH,0,,,,,,,,,,,,,0,Water; Diethyl Ether,15,no,solid,yes,0,1
119,Terephthaloyl Chloride,1000,"Naphthalene-1,5-diol",716.45,,232.83,NaOH,0,,,,,,,,,,,,,0,Water; Diethyl Ether,15,no,solid,yes,0,1
120,Terephthaloyl Chloride,1000,"2,7-Naphthalenediol",716.45,,232.83,NaOH,0,,,,,,,,,,,,,0,Water; Diethyl Ether,15,no,solid,yes,0,1
121,Terephthaloyl Chloride,1000,"2-Butyne-1,4-diol",716.45,,232.83,NaOH,0,,,,,,,,,,,,,0,Water; Diethyl Ether,15,no,solid,yes,0,1
122,Terephthaloyl Chloride,978.24,Bisphenol A,1000,,227.76,NaOH,0,,,,,,,,,,,,,0,Water; Diethyl Ether,15,no,solid,yes,0,1
123,Terephthaloyl Chloride,892.23,"4,4'-Dihydroxydiphenylmethane",800,,207.74,NaOH,0,,,,,,,,,,,,,0,Water; Diethyl Ether,15,no,solid,yes,0,1
124,Terephthaloyl Chloride,892.32,Bis(4-hydroxyphenyl) Sulfone,1000,,207.76,NaOH,0,,,,,,,,,,,,,0,Water; Diethyl Ether,15,no,solid,no,0,0
125,Terephthaloyl Chloride,1023.15,"4,4′-Thiodiphenol",1000,,238.22,NaOH,0,,,,,,,,,,,,,0,Water; Diethyl Ether,15,no,solid,no,0,0
126,Terephthaloyl Chloride,1126.64,Guaiacol glyceryl ether,1000,,262.32,NaOH,0,,,,,,,,,,,,,0,Water; Diethyl Ether,15,yes,crystalline,yes,1,1
127,Terephthaloyl Chloride,1827.66,"2,2′-Thiodiethanol",1000,,425.53,NaOH,0,,,,,,,,,,,,,0,Water; Diethyl Ether,15,no,solid,no,0,0
128,Terephthaloyl Chloride,1466.91,"1,4-Dithiane-2,5-diol",1000,,341.54,NaOH,0,,,,,,,,,,,,,0,Water; Diethyl Ether,15,no,solid,no,0,0
129,Terephthaloyl Chloride,1528.56,Dianhydro-D-glucitol,1000,,355.89,NaOH,0,,,,,,,,,,,,,0,Water; Diethyl Ether,15,no,solid,no,0,0
130,Malonyl Chloride,710.34,"4,4′-Thiodiphenol",1000,,238.22,NaOH,0,,,,,,,,,,,,,0,Water; Diethyl Ether,15,no,solid,no,0,0
131,Terephthaloyl Chloride,1000,"cis-2-Butene-1,4-diol",394.54,,232.83,NaOH,0,,,,,,,,,,,,,0,Water; Diethyl Ether,15,no,solid,no,0,0
132,Sebacoyl Chloride,980.26,"4,4′-Cyclohexylidenebisphenol",1000,,383.19,pyridine,0,,,,,,,,,,,,,0,DMF; Hexanes,15,yes,fluid,yes,1,1
133,Sebacoyl Chloride,918.74,"(R)-(+)-1,1′-Binaphthyl-2,2′-diol",1000,,359.14,pyridine,0,,,,,,,,,,,,,0,DMF; Hexanes,15,yes,crystalline,no,1,0
134,Sebacoyl Chloride,1000,"4,4′-Sulfonylbis(2-methylphenol)",1058.03,,197.66,NaOH,0,,,,,,,,,,,,,0,Water; Hexanes,15,no,fluid,yes,0,1
135,Azelaoyl chloride,1084.68,Bisphenol A,1000,,227.76,NaOH,0,,,,,,,,,,,,,0,Water; Hexanes,15,yes,fluid,yes,1,1
136,Azelaoyl chloride,989.31,"4,4'-Dihydroxydiphenylmethane",800,,207.74,NaOH,0,,,,,,,,,,,,,0,Water; Hexanes,15,no,solid,yes,0,1
137,Azelaoyl chloride,1134.47,"4,4′-Thiodiphenol",1000,,238.22,NaOH,0,,,,,,,,,,,,,0,Water; Hexanes,15,no,solid,no,0,0
138,Azelaoyl chloride,1000,"1,4-Dithiane-2,5-diol",614.81,,209.98,NaOH,0,,,,,,,,,,,,,0,Water; Hexanes,15,no,solid,no,0,0
139,Azelaoyl chloride,1000,"cis-2-Butene-1,4-diol",355.83,,209.98,NaOH,0,,,,,,,,,,,,,0,Water; Hexanes,15,no,solid,yes,0,1
140,Azelaoyl chloride,1000,Resorcinol,444.63,,209.98,NaOH,0,,,,,,,,,,,,,0,Water; Hexanes,15,yes,crystalline,yes,1,1
141,Azelaoyl chloride,1000,"Naphthalene-1,5-diol",646.15,,209.98,NaOH,0,,,,,,,,,,,,,0,Water; Hexanes,15,no,solid,yes,0,1
142,Azelaoyl chloride,1000,"2,7-Naphthalenediol",646.15,,209.98,NaOH,0,,,,,,,,,,,,,0,Water; Hexanes,15,no,solid,yes,0,1
143,Azelaoyl chloride,1000,"2-Butyne-1,4-diol",347.67,,209.98,NaOH,0,,,,,,,,,,,,,0,Water; Hexanes,15,no,solid,yes,0,1
144,Azelaoyl chloride,1000,Guaiacol glyceryl ether,800.5,,209.98,NaOH,0,,,,,,,,,,,,,0,Water; Hexanes,15,yes,fluid,yes,1,1
145,Azelaoyl chloride,989.42,Bis(4-hydroxyphenyl) Sulfone,1000,,207.76,NaOH,0,,,,,,,,,,,,,0,Water; Hexanes,15,no,solid,yes,0,1
146,Azelaoyl chloride,1000,"Biphenyl-2,2′-diol",477.34,,209.98,NaOH,0,,,,,,,,,,,,,0,Water; Hexanes,15,yes,crystalline,yes,1,1
147,Azelaoyl chloride,714.7,"1,3-Bis[2-(4-hydroxyphenyl)-2-propyl]benzene",1000,,296.79,pyridine,0,,,,,,,,,,,,,0,DMF; Hexanes,15,yes,fluid,yes,1,1
148,Azelaoyl chloride,852.8,"4,4′-(alpha-Methylbenzylidene)bisphenol",1000,,354.14,pyridine,0,,,,,,,,,,,,,0,DMF; Hexanes,15,yes,amorphous,yes,1,1
149,Azelaoyl chloride,870.71,"4,4′-Isopropylidenebis(2,6-dimethylphenol)",1000,,361.58,pyridine,0,,,,,,,,,,,,,0,DMF; Hexanes,15,yes,amorphous,yes,1,1
150,Azelaoyl chloride,706.66,"4,4′-(9-Fluorenylidene)diphenol",1000,,293.46,pyridine,0,,,,,,,,,,,,,0,DMF; Hexanes,15,yes,amorphous,no,1,0
151,Azelaoyl chloride,864.84,"(R)-(+)-1,1′-Binaphthyl-2,2′-diol",1000,,359.14,pyridine,0,,,,,,,,,,,,,0,DMF; Hexanes,15,yes,amorphous,yes,1,1
152,Suberoyl chloride,406.85,Bisphenol A,400,,91.11,NaOH,0,,,,,,,,,,,,,0,Water; Hexanes,15,yes,amorphous,yes,1,1
153,Suberoyl chloride,463.85,"4,4'-Dihydroxydiphenylmethane",400,,103.87,NaOH,0,,,,,,,,,,,,,0,Water; Hexanes,15,no,solid,no,0,0
154,Suberoyl chloride,500,"4,4′-Thiodiphenol",470.01,,111.96,NaOH,0,,,,,,,,,,,,,0,Water; Hexanes,15,no,solid,no,0,0
155,Malonyl Chloride,1018.42,"1,4-Dithiane-2,5-diol",1000,,341.54,NaOH,0,,,,,,,,,,,,,0,Water; Diethyl Ether,15,no,solid,no,0,0
156,Suberoyl chloride,500,"1,4-Dithiane-2,5-diol",327.82,,111.96,NaOH,0,,,,,,,,,,,,,0,Water; Hexanes,15,no,solid,no,0,0
157,Suberoyl chloride,500,Resorcinol,237.08,,111.96,NaOH,0,,,,,,,,,,,,,0,Water; Hexanes,15,yes,fluid,yes,1,1
158,Suberoyl chloride,500,"Naphthalene-1,5-diol",344.53,,111.96,NaOH,0,,,,,,,,,,,,,0,Water; Hexanes,15,no,solid,yes,0,1
159,Suberoyl chloride,500,"2,7-Naphthalenediol",344.53,,111.96,NaOH,0,,,,,,,,,,,,,0,Water; Hexanes,15,no,solid,yes,0,1
160,Dimethylmalonyl chloride,814.36,Bisphenol A,1000,,227.76,NaOH,0,,,,,,,,,,,,,0,Water; Hexanes,15,no,solid,yes,0,1
161,Dimethylmalonyl chloride,1000,"Biphenyl-2,2′-diol",635.79,,279.68,NaOH,0,,,,,,,,,,,,,0,Water; Hexanes,15,yes,crystalline,yes,1,1
162,Dimethylmalonyl chloride,851.75,"4,4′-Thiodiphenol",1000,,238.22,NaOH,0,,,,,,,,,,,,,0,Water; Hexanes,15,no,solid,yes,0,1
163,Dimethylmalonyl chloride,1000,"cis-2-Butene-1,4-diol",473.94,,279.68,NaOH,0,,,,,,,,,,,,,0,Water; Hexanes,15,no,solid,yes,0,1
164,Dimethylmalonyl chloride,500,"Naphthalene-1,5-diol",430.31,,139.84,NaOH,0,,,,,,,,,,,,,0,Water; Hexanes,15,no,solid,yes,0,1
165,Terephthaloyl Chloride,1000,"Biphenyl-2,2′-diol",833.82,,232.83,NaOH,0,,,,,,,,,,,,,0,Water; Diethyl Ether,15,no,solid,no,0,0
166,Terephthaloyl Chloride,1000,"1,3-Propanediol",340.72,,232.83,NaOH,0,,,,,,,,,,,,,0,Water; Diethyl Ether,15,no,solid,no,0,0
167,Terephthaloyl Chloride,1000,"1,5-pentanediol",466.36,,232.83,NaOH,0,,,,,,,,,,,,,0,Water; Diethyl Ether,15,no,solid,no,0,0
168,Dimethylcarbonate,813.56,"1,3-Bis[2-(4-hydroxyphenyl)-2-propyl]benzene",1000,,,,,3.53,DMAP,0,,,,,,,,,,,,,yes,amorphous,no,1,0
169,Dimethylcarbonate,3199.41,"cis-2-Butene-1,4-diol",1000,,,,,13.87,DMAP,0,,,,,,,,,,,,,no,fluid,no,0,0
171,Dimethylcarbonate,2706.67,"1,5-pentanediol",1000,,,,,11.73,DMAP,0,,,,,,,,,,,,,yes,amorphous,yes,1,1
172,Dimethylcarbonate,1927.82,"1,8-octanediol",1000,,,,,8.35,DMAP,0,,,,,,,,,,,,,yes,crystalline,no,1,0
173,Dimethylcarbonate,1759.13,"1,9-nonanediol",1000,,,,,7.62,DMAP,0,,,,,,,,,,,,,yes,crystalline,no,1,0
174,Dimethylcarbonate,1617.51,"1,10-decanediol",1000,,,,,7.01,DMAP,0,,,,,,,,,,,,,yes,crystalline,no,1,0
175,Dimethylcarbonate,970.86,"4,4′-(alpha-Methylbenzylidene)bisphenol",1000,,,,,4.21,DMAP,0,,,,,,,,,,,,,no,solid,no,0,0
176,Dimethylcarbonate,2132.38,"2,2-diethyl-1,3-propanediol",1000,,,,,9.24,DMAP,0,,,,,,,,,,,,,yes,amorphous,no,1,0
177,Dimethylcarbonate,2706.73,"2,2-Dimethyl-1,3-propanediol",1000,,,,,11.73,DMAP,0,,,,,,,,,,,,,yes,crystalline,no,1,0
178,Dimethylcarbonate,1436.14,"4,8-Bis(hydroxymethyl)tricyclo[5.2.1.02,6]decane",1000,,,,,6.22,DMAP,0,,,,,,,,,,,,,yes,amorphous,no,1,0
179,Dimethylcarbonate,2426.86,"1,4-cyclohexanediol",1000,,,,,10.52,DMAP,0,,,,,,,,,,,,,yes,amorphous,no,1,0
180,Dimethylcarbonate,2656.43,diethylene glycol,1000,,,,,11.51,DMAP,0,,,,,,,,,,,,,yes,fluid,yes,1,1
181,Dimethylcarbonate,1012.86,"4,4′-Sulfonylbis(2-methylphenol)",1000,,,,,4.39,DMAP,0,,,,,,,,,,,,,no,solid,no,0,0
182,Dimethylcarbonate,1827.55,2-Hydroxyethyl disulfide,1000,,,,,7.92,DMAP,0,,,,,,,,,,,,,yes,fluid,no,1,0
183,Dimethylcarbonate,1172.73,"4,4′-Isopropylidenedicyclohexanol",1000,,,,,5.08,DMAP,0,,,,,,,,,,,,,yes,crystalline,no,1,0
184,Dimethylcarbonate,2101.02,dipropylene glycol,1000,,,,,9.11,DMAP,0,,,,,,,,,,,,,yes,fluid,no,1,0
185,Dimethylcarbonate,1760,"Naphthalene-1,5-diol",1000,,,,,7.63,DMAP,0,,,,,,,,,,,,,no,solid,yes,0,1
186,Dimethylcarbonate,1760,"2,7-Naphthalenediol",1000,,,,,7.63,DMAP,0,,,,,,,,,,,,,no,solid,yes,0,1
187,Dimethylcarbonate,3274.48,"2-Butyne-1,4-diol",1000,,,,,14.19,DMAP,0,,,,,,,,,,,,,yes,fluid,yes,1,1
188,Dimethylcarbonate,1234.83,Bisphenol A,1000,,,,,5.35,DMAP,0,,,,,,,,,,,,,no,solid,no,0,0
189,Dimethylcarbonate,1407.81,"4,4'-Dihydroxydiphenylmethane",1000,,,,,6.1,DMAP,0,,,,,,,,,,,,,no,solid,no,0,0
191,Dimethylcarbonate,804.51,"4,4′-(9-Fluorenylidene)diphenol",1000,,,,,3.49,DMAP,0,,,,,,,,,,,,,no,solid,no,0,0
192,Dimethylcarbonate,3127.98,"1,4-Butanediol",1000,,,,,13.56,DMAP,0,,,,,,,,,,,,,yes,crystalline,yes,1,1
193,Dimethylcarbonate,2385.55,"1,6-Hexanediol",1000,,,,,10.34,DMAP,0,,,,,,,,,,,,,yes,crystalline,yes,1,1
194,Dimethylcarbonate,3128.05,"2-Methyl-1,3-propanediol",1000,,,,,13.56,DMAP,0,,,,,,,,,,,,,yes,fluid,no,1,0
195,Dimethylcarbonate,1759.13,"2-Butyl-2-ethyl-1,3-propanediol",1000,,,,,7.62,DMAP,0,,,,,,,,,,,,,yes,fluid,no,1,0
196,Dimethylcarbonate,2469.77,"1,5-hexadiene-3,5-diol",1000,,,,,10.7,DMAP,0,,,,,,,,,,,,,no,solid,no,0,0
197,Dimethylcarbonate,1050.49,"4,4′-Cyclohexylidenebisphenol",1000,,,,,4.55,DMAP,0,,,,,,,,,,,,,no,solid,yes,0,1
198,Dimethylcarbonate,984.56,"(R)-(+)-1,1′-Binaphthyl-2,2′-diol",1000,,,,,4.27,DMAP,0,,,,,,,,,,,,,yes,crystalline,yes,1,1
199,Dimethylcarbonate,1291.52,"4,4′-Thiodiphenol",1000,,,,,5.6,DMAP,0,,,,,,,,,,,,,no,solid,no,0,0
200,Dimethylcarbonate,1422.16,Guaiacol glyceryl ether,1000,,,,,6.16,DMAP,0,,,,,,,,,,,,,yes,fluid,no,1,0
201,Dimethylcarbonate,2307.06,"2,2′-Thiodiethanol",1000,,,,,10,DMAP,0,,,,,,,,,,,,,yes,fluid,yes,1,1
202,Diglycolic acid,1135.58,ethylene glycol,630.74,,,,,2.4,Ti(Opr)4,0,,,,,,,,,,,,,yes,fluid,yes,1,1
203,Diglycolic acid,1135.58,"1,10-decanediol",1475.82,,,,,2.4,Ti(Opr)4,0,,,,,,,,,,,,,yes,crystalline,yes,1,1
204,Diglycolic acid,1135.58,"1,2-Propanediol",773.31,,,,,2.4,Ti(Opr)4,0,,,,,,,,,,,,,yes,fluid,yes,1,1
205,Diglycolic acid,1135.58,"1,3-Propanediol",708.77,,,,,2.4,Ti(Opr)4,0,,,,,,,,,,,,,yes,amorphous,yes,1,1
206,Diglycolic acid,1135.58,"1,4-Butanediol",801.3,,,,,2.4,Ti(Opr)4,0,,,,,,,,,,,,,yes,crystalline,yes,1,1
207,Diglycolic acid,1135.58,"1,5-pentanediol",881.95,,,,,2.4,Ti(Opr)4,0,,,,,,,,,,,,,yes,crystalline,yes,1,1
208,Diglycolic acid,1135.58,"1,6-Hexanediol",1000.68,,,,,2.4,Ti(Opr)4,0,,,,,,,,,,,,,yes,amorphous,yes,1,1
209,Diglycolic acid,1135.58,"3-methyl-1,5-pentanediol",1000.68,,,,,2.4,Ti(Opr)4,0,,,,,,,,,,,,,yes,fluid,yes,1,1
210,Diglycolic acid,1135.58,"1,7-heptanediol",1119.49,,,,,2.4,Ti(Opr)4,0,,,,,,,,,,,,,yes,amorphous,yes,1,1
211,Diglycolic acid,1135.58,"1,8-octanediol",1238.29,,,,,2.4,Ti(Opr)4,0,,,,,,,,,,,,,yes,crystalline,yes,1,1
212,Diglycolic acid,1135.58,"1,9-nonanediol",1357.02,,,,,2.4,Ti(Opr)4,0,,,,,,,,,,,,,yes,crystalline,yes,1,1
213,"2,2′-Thiodiacetic acid",1271.49,"3-methyl-1,5-pentanediol",1000.68,,,,,2.4,Ti(Opr)4,0,,,,,,,,,,,,,yes,fluid,yes,1,1
214,"2,2′-Thiodiacetic acid",1271.49,"1,10-decanediol",1475.82,,,,,2.4,Ti(Opr)4,0,,,,,,,,,,,,,yes,amorphous,yes,1,1
215,[(Carboxymethyl)(methyl)amino]acetic acid,1244.81,"1,4-Butanediol",801.3,,,,,2.4,Ti(Opr)4,0,,,,,,,,,,,,,yes,fluid,yes,1,1
216,[(Carboxymethyl)(methyl)amino]acetic acid,1244.81,"1,6-Hexanediol",1000.68,,,,,2.4,Ti(Opr)4,0,,,,,,,,,,,,,yes,fluid,no,1,0
217,[(Carboxymethyl)(methyl)amino]acetic acid,1244.81,"3-methyl-1,5-pentanediol",1000.68,,,,,2.4,Ti(Opr)4,0,,,,,,,,,,,,,yes,fluid,no,1,0
218,[(Carboxymethyl)(methyl)amino]acetic acid,1244.81,"1,10-decanediol",1475.82,,,,,2.4,Ti(Opr)4,0,,,,,,,,,,,,,yes,fluid,no,1,0
219,"2,2′-Thiodiacetic acid",1271.49,ethylene glycol,630.74,,,,,2.4,Ti(Opr)4,0,,,,,,,,,,,,,yes,fluid,yes,1,1
220,"2,2′-Thiodiacetic acid",1271.49,"1,4-Butanediol",801.3,,,,,2.4,Ti(Opr)4,0,,,,,,,,,,,,,yes,amorphous,yes,1,1
221,"2,2′-Thiodiacetic acid",1271.49,"1,6-Hexanediol",1000.68,,,,,2.4,Ti(Opr)4,0,,,,,,,,,,,,,yes,fluid,yes,1,1
222,Adipic acid,1237.53,"2,2-Diethyl-1,3-propanediol",1231.43,,,,,2.4,Ti(Opr)4,0,,,,,,,,,,,,,yes,fluid,no,1,0
223,Adipic acid,1237.53,"1,2-Propanediol",773.31,,,,,2.4,Ti(Opr)4,0,,,,,,,,,,,,,yes,fluid,yes,1,1
224,Adipic acid,1237.53,"2-Methyl-1,3-propanediol",839.46,,,,,2.4,Ti(Opr)4,0,,,,,,,,,,,,,yes,fluid,yes,1,1
225,Adipic acid,1237.53,"2-Butyl-2-ethyl-1,3-propanediol",1424.69,,,,,2.4,Ti(Opr)4,0,,,,,,,,,,,,,yes,fluid,no,1,0
226,Adipic acid,1237.53,"2,2,4-Trimethyl-1,3-pentanediol",1300.21,,,,,2.4,Ti(Opr)4,0,,,,,,,,,,,,,yes,fluid,no,1,0
227,Adipic acid,1237.53,"2,2-Dimethyl-1,3-propanediol",926.05,,,,,2.4,Ti(Opr)4,0,,,,,,,,,,,,,yes,amorphous,no,1,0
228,Adipic acid,1237.53,"1,4-Cyclohexanedimethanol",1282.25,,,,,2.4,Ti(Opr)4,0,,,,,,,,,,,,,yes,crystalline,no,1,0
229,Adipic acid,1237.53,"4,4′-Isopropylidenedicyclohexanol, mixture of isomers",2035.74,,,,,2.4,Ti(Opr)4,0,,,,,,,,,,,,,yes,amorphous,no,1,0
230,Adipic acid,1237.53,"4,8-Bis(hydroxymethyl)tricyclo[5.2.1.02,6]decane",1662.29,,,,,2.4,Ti(Opr)4,0,,,,,,,,,,,,,yes,fluid,no,1,0
231,Adipic acid,1237.53,"2-Butyne-1,4-diol",874.93,,,,,2.4,Ti(Opr)4,0,,,,,,,,,,,,,no,solid,yes,0,1
232,Adipic acid,1237.53,"2,3-Butanediol",839.46,,,,,2.4,Ti(Opr)4,0,,,,,,,,,,,,,yes,fluid,yes,1,1
233,Succinic acid,1000,Resorcinol,932.34,,,,,2.4,Ti(Opr)4,0,,,,,,,,,,,,,no,solid,no,0,0
234,Adipic acid,1237.53,"1,4-Cyclohexanediol",1033.2,,,,,2.4,Ti(Opr)4,0,,,,,,,,,,,,,yes,crystalline,yes,1,1
235,Adipic acid,1237.53,Resorcinol,1101.03,,,,,2.4,Ti(Opr)4,0,,,,,,,,,,,,,no,solid,yes,0,1
236,Succinic acid,1000,"2,3-Butanediol",839.46,,,,,2.4,Ti(Opr)4,0,,,,,,,,,,,,,yes,fluid,yes,1,1
237,Succinic acid,1000,"1,4-Cyclohexanediol",1033.2,,,,,2.4,Ti(Opr)4,0,,,,,,,,,,,,,yes,amorphous,no,1,0
238,Succinic acid,1000,"cis-2-Butene-1,4-diol",783.43,,,,,2.4,Ti(Opr)4,0,,,,,,,,,,,,,no,solid,yes,0,1
239,Succinic acid,1000,"2,2-Diethyl-1,3-propanediol",1231.43,,,,,2.4,Ti(Opr)4,0,,,,,,,,,,,,,yes,fluid,no,1,0
240,Suberic Acid,1475.06,"1,4-Cyclohexanedimethanol",1221.19,,,,,2.4,Ti(Opr)4,0,,,,,,,,,,,,,yes,crystalline,no,1,0
241,Succinic acid,1000,"2-Methyl-1,3-propanediol",839.46,,,,,2.4,Ti(Opr)4,0,,,,,,,,,,,,,yes,fluid,yes,1,1
242,Succinic acid,1000,"2-Butyl-2-ethyl-1,3-propanediol",1424.69,,,,,2.4,Ti(Opr)4,0,,,,,,,,,,,,,yes,fluid,no,1,0
243,Succinic acid,1000,"2,2,4-Trimethyl-1,3-pentanediol",1300.21,,,,,2.4,Ti(Opr)4,0,,,,,,,,,,,,,yes,fluid,no,1,0
244,Succinic acid,1000,"2,2-Dimethyl-1,3-propanediol",926.05,,,,,2.4,Ti(Opr)4,0,,,,,,,,,,,,,yes,amorphous,no,1,0
245,Succinic acid,1000,"1,4-Cyclohexanedimethanol",1282.25,,,,,2.4,Ti(Opr)4,0,,,,,,,,,,,,,yes,crystalline,no,1,0
246,Succinic acid,1000,"4,4′-Isopropylidenedicyclohexanol",2035.74,,,,,2.4,Ti(Opr)4,0,,,,,,,,,,,,,yes,amorphous,no,1,0
247,Succinic acid,1000,"4,8-Bis(hydroxymethyl)tricyclo[5.2.1.02,6]decane",1662.29,,,,,2.4,Ti(Opr)4,0,,,,,,,,,,,,,no,solid,no,0,0
248,Succinic acid,1000,Bisphenol A,1933.27,,,,,2.4,Ti(Opr)4,0,,,,,,,,,,,,,yes,crystalline,no,1,0
249,[(Carboxymethyl)(methyl)amino]acetic acid,1244.81,"1,4-Cyclohexanedimethanol",1221.19,,,,,2.4,Ti(Opr)4,0,,,,,,,,,,,,,yes,fluid,yes,1,1
250,"2,2′-Thiodiacetic acid",1271.49,"2,3-Butanediol",839.46,,,,,2.4,Ti(Opr)4,0,,,,,,,,,,,,,yes,fluid,yes,1,1
251,"2,2′-Thiodiacetic acid",1271.49,Bisphenol A,1933.27,,,,,2.4,Ti(Opr)4,0,,,,,,,,,,,,,no,solid,yes,0,1
252,[(Carboxymethyl)(methyl)amino]acetic acid,1244.81,"4,4′-Isopropylidenedicyclohexanol",2035.74,,,,,2.4,Ti(Opr)4,0,,,,,,,,,,,,,yes,amorphous,no,1,0
253,[(Carboxymethyl)(methyl)amino]acetic acid,1244.81,"2-Butyl-2-ethyl-1,3-propanediol",1356.85,,,,,2.4,Ti(Opr)4,0,,,,,,,,,,,,,yes,fluid,no,1,0
254,[(Carboxymethyl)(methyl)amino]acetic acid,1244.81,Resorcinol,932.34,,,,,2.4,Ti(Opr)4,0,,,,,,,,,,,,,no,solid,no,0,0
255,[(Carboxymethyl)(methyl)amino]acetic acid,1244.81,"2,3-Butanediol",839.46,,,,,2.4,Ti(Opr)4,0,,,,,,,,,,,,,yes,fluid,yes,1,1
256,"2,2′-Thiodiacetic acid",1271.49,"1,4-Cyclohexanedimethanol",1221.19,,,,,2.4,Ti(Opr)4,0,,,,,,,,,,,,,yes,fluid,yes,1,1
257,"2,2′-Thiodiacetic acid",1271.49,"4,4′-Isopropylidenedicyclohexanol",2035.74,,,,,2.4,Ti(Opr)4,0,,,,,,,,,,,,,yes,amorphous,no,1,0
258,"2,2′-Thiodiacetic acid",1271.49,"2-Butyl-2-ethyl-1,3-propanediol",1356.85,,,,,2.4,Ti(Opr)4,0,,,,,,,,,,,,,yes,fluid,no,1,0
259,"2,2′-Thiodiacetic acid",1271.49,Resorcinol,932.34,,,,,2.4,Ti(Opr)4,0,,,,,,,,,,,,,no,solid,no,0,0
260,Diglycolic acid,2271.15,"2,2-Diethyl-1,3-propanediol",2462.87,,,,,2.4,Ti(Opr)4,0,,,,,,,,,,,,,yes,fluid,yes,1,1
261,Diglycolic acid,2271.15,Bisphenol A,2066.39,,,,,2.4,Ti(Opr)4,0,,,,,,,,,,,,,yes,amorphous,yes,1,1
262,Diglycolic acid,2271.15,Resorcinol,1957.91,,,,,2.4,Ti(Opr)4,0,,,,,,,,,,,,,yes,amorphous,no,1,0
263,Diglycolic acid,2271.15,"2-Methyl-1,3-propanediol",1678.92,,,,,2.4,Ti(Opr)4,0,,,,,,,,,,,,,yes,fluid,yes,1,1
264,Diglycolic acid,2271.15,"2-Butyl-2-ethyl-1,3-propanediol",2849.38,,,,,2.4,Ti(Opr)4,0,,,,,,,,,,,,,yes,fluid,no,1,0
265,Diglycolic acid,2271.15,"2,2,4-Trimethyl-1,3-pentanediol",2600.42,,,,,2.4,Ti(Opr)4,0,,,,,,,,,,,,,yes,fluid,no,1,0
266,Diglycolic acid,2271.15,"2,2-Dimethyl-1,3-propanediol",1852.1,,,,,2.4,Ti(Opr)4,0,,,,,,,,,,,,,yes,fluid,yes,1,1
267,Diglycolic acid,2271.15,"1,4-Cyclohexanedimethanol",2442.37,,,,,2.4,Ti(Opr)4,0,,,,,,,,,,,,,yes,fluid,yes,1,1
268,Diglycolic acid,2271.15,"4,4′-Isopropylidenedicyclohexanol",4071.47,,,,,2.4,Ti(Opr)4,0,,,,,,,,,,,,,yes,amorphous,no,1,0
269,Diglycolic acid,2271.15,"4,8-Bis(hydroxymethyl)tricyclo[5.2.1.02,6]decane",3324.58,,,,,2.4,Ti(Opr)4,0,,,,,,,,,,,,,no,amorphous,yes,0,1
270,Diglycolic acid,2271.15,Dianhydro-D-glucitol,3866.54,,,,,2.4,Ti(Opr)4,0,,,,,,,,,,,,,yes,crystalline,no,1,0
271,Terephthaloyl Chloride,1500,ethylene glycol,458.6,,,,,4675.4,pyridine,0,,,,,,,,,,,,,no,solid,no,0,0
272,Terephthaloyl Chloride,1500,"1,4-Butanediol",665.85,,,,,4675.4,pyridine,0,,,,,,,,,,,,,no,solid,no,0,0
273,Terephthaloyl Chloride,1500,"cis-2-Butene-1,4-diol",651,,,,,4675.4,pyridine,0,,,,,,,,,,,,,no,solid,no,0,0
274,Terephthaloyl Chloride,1500,"2-Methyl-1,3-propanediol",665.85,,,,,4675.4,pyridine,0,,,,,,,,,,,,,no,solid,no,0,0
275,Terephthaloyl Chloride,1500,"2-Butyl-2-ethyl-1,3-propanediol",1183.85,,,,,4675.4,pyridine,0,,,,,,,,,,,,,yes,amorphous,no,1,0
276,Terephthaloyl Chloride,1500,"1,4-Cyclohexanedimethanol",1065.49,,,,,4675.4,pyridine,0,,,,,,,,,,,,,no,solid,no,0,0
