polymer_number,monomer_1,monomer_1_mass_mg,monomer_2,monomer_2_mass_mg,monomer_other,base_mass_mg_total,base_reagents,base_volume_ml_total,catalyst_mass_mg_total,catalyst_reagents,catalyst_volume_ml_total,co-catalyst_mass_mg_total,co-catalyst_reagents,co-catalyst_volume_ml_total,initiator_mass_mg_total,initiator_reagents,initiator_volume_ml_total,quenching agent_mass_mg_total,quenching agent_reagents,quenching agent_volume_ml_total,solvent_mass_mg_total,solvent_reagents,solvent_volume_ml_total,solubility,physical_state,biodegradability,solubility_label,biodegradability_label
447,Adipic acid,1000,Guaiacol glyceryl ether,1356.37,,,,,0,Ti(Opr)4,0.05,,,,,,,,,,,,,yes,fluid,yes,1,1
448,pimelic acid,1000,"1,4-Cyclohexanediol",797.75,,,,,0,Ti(Opr)4,0.05,,,,,,,,,,,,,yes,crystalline,no,1,0
449,Succinic acid,1000,Guaiacol glyceryl ether,1678.55,,,,,0,Ti(Opr)4,0.05,,,,,,,,,,,,,no,fluid,yes,0,1
450,azelaic acid,1000,"1,4-Dithiane-2,5-diol",808.84,,,,,0,Ti(Opr)4,0.05,,,,,,,,,,,,,no,solid,no,0,0
451,"1,4-Cyclohexanedicarboxylic acid",1000,"1,4-Dithiane-2,5-diol",928.4,,,,,0,Ti(Opr)4,0.05,,,,,,,,,,,,,no,solid,no,0,0
452,glutaric acid,1000,"1,4-Dithiane-2,5-diol",1152.29,,,,,0,Ti(Opr)4,0.05,,,,,,,,,,,,,no,solid,no,0,0
453,"2,2′-Thiodiacetic acid",1000,"1,4-Dithiane-2,5-diol",1013.92,,,,,0,Ti(Opr)4,0.05,,,,,,,,,,,,,no,solid,no,0,0
454,"2,2′-[ethylenebis(oxy)] bisacetic acid",1000,"1,4-Dithiane-2,5-diol",854.61,,,,,0,Ti(Opr)4,0.05,,,,,,,,,,,,,yes,crystalline,no,1,0
455,Diglycolic acid,1000,"1,4-Dithiane-2,5-diol",1135.36,,,,,0,Ti(Opr)4,0.05,,,,,,,,,,,,,no,solid,no,0,0
456,Isophthalic acid,2000,"1,4-Dithiane-2,5-diol",1832.78,,,,,0,Ti(Opr)4,0.05,,,,,,,,,,,,,no,solid,no,0,0
457,pimelic acid,1000,"3-methyl-1,5-pentanediol",811.63,,,,,0,Ti(Opr)4,0.05,,,,,,,,,,,,,no,solid,no,0,0
