Polymer Number,Reagent Role,Reagent,Mass,Volume
,,,mg,mL
,Base,NaOH,207.74,
,Solvent,Water,7.50,7.5
,Solvent,Diethyl Ether,7.50,7.5
,,,,
53,Monomer,Sebacoyl Chloride,1000.00,
,Monomer,"2,2′-Thiodiethanol",464.51,
,Base,NaOH,197.66,
,Solvent,Water,,7.5
,Solvent,hexanes,,7.5
,,,,
54,Monomer,Sebacoyl Chloride,1000.00,
,Monomer,"1,4-Dithiane-2,5-diol",578.74,
,Base,NaOH,197.66,
,Solvent,Water,,7.5
,Solvent,hexanes,,7.5
,,,,
55,Monomer,Oxalyl Chloride,871.72,
,Monomer,"2,7-Naphthalenediol",1000.00,
,Base,NaOH,324.63,
,Solvent,Water,,7.5
,Solvent,Diethyl Ether,,7.5
,,,,
56,Monomer,Sebacoyl Chloride,1000.00,
,Monomer,"cis-2-Butene-1,4-diol",334.95,
,Base,NaOH,197.66,
,Solvent,Water,,7.5
,Solvent,hexanes,,7.5
,,,,
57,Monomer,Succinyl Chloride,587.08,
,Monomer,"4,4′-(alpha-Methylbenzylidene)bisphenol",1000.00,
,Base,NaOH,179.07,
,Solvent,Water,,7.5
,Solvent,Diisopropyl Ether,,7.5
,,,,
58,Monomer,Succinyl Chloride,681.13,
,Monomer,Bis(4-hydroxyphenyl) Sulfone,1000.00,
,Base,NaOH,207.76,
,Solvent,Water,,7.5
,Solvent,Diisopropyl Ether,,7.5
,,,,
59,Monomer,Succinyl Chloride,635.24,
,Monomer,"4,4′-Cyclohexylidenebisphenol",1000.00,
,Base,NaOH,193.76,
,Solvent,Water,,7.5
,Solvent,Diisopropyl Ether,,7.5
,,,,
60,Monomer,Succinyl Chloride,599.41,
,Monomer,"4,4′-Isopropylidenebis(2,6-dimethylphenol)",1000.00,
,Base,NaOH,182.83,
,Solvent,Water,,7.5
,Solvent,Diisopropyl Ether,,7.5
,,,,
61,Monomer,Succinyl Chloride,780.99,
,Monomer,"4,4′-Thiodiphenol",1000.00,
,Base,NaOH,238.22,
,Solvent,Water,,7.5
,Solvent,Diisopropyl Ether,,7.5
,,,,
62,Monomer,Sebacoyl Chloride,1000.00,
,Monomer,Resorcinol,418.55,
,Base,NaOH,197.66,
,Solvent,Water,,7.5
,Solvent,hexanes,,7.5
,,,,
63,Monomer,Succinyl Chloride,915.46,
,Monomer,"Biphenyl-2,2′-diol",1000.00,
,Base,NaOH,279.23,
,Solvent,Water,,7.5
,Solvent,Diisopropyl Ether,,7.5
,,,,
64,Monomer,Succinyl Chloride,612.49,
,Monomer,"4,4′-Sulfonylbis(2-methylphenol)",1000.00,
,Base,NaOH,186.82,
,Solvent,Water,,7.5
,Solvent,Diisopropyl Ether,,7.5
,,,,
65,Monomer,Succinyl Chloride,595.37,
,Monomer,"(R)-(+)-1,1′-Binaphthyl-2,2′-diol",1000.00,
,Base,NaOH,181.60,
,Solvent,Water,,7.5
,Solvent,Diisopropyl Ether,,7.5
,,,,
66,Monomer,Succinyl Chloride,1980.12,
,Monomer,"2-Butyne-1,4-diol",1000.00,
,Base,NaOH,603.98,
,Solvent,Water,,7.5
,Solvent,Diisopropyl Ether,,7.5
,,,,
67,Monomer,Succinyl Chloride,1166.78,
,Monomer,Dianhydro-D-glucitol,1000.00,
,Base,NaOH,355.89,
,Solvent,Water,,7.5
,Solvent,Diisopropyl Ether,,7.5
,,,,
68,Monomer,Succinyl Chloride,1934.71,
,Monomer,"cis-2-Butene-1,4-diol",1000.00,
,Base,NaOH,590.13,
,Solvent,Water,,7.5
,Solvent,Diisopropyl Ether,,7.5
,,,,
69,Monomer,Succinyl Chloride,1064.29,
,Monomer,"Naphthalene-1,5-diol",1000.00,
,Base,NaOH,324.63,
,Solvent,Water,,7.5
,Solvent,Diisopropyl Ether,,7.5
,,,,
70,Monomer,Succinyl Chloride,1064.29,
,Monomer,"2,7-Naphthalenediol",1000.00,
,Base,NaOH,324.63,
,Solvent,Water,,7.5
,Solvent,Diisopropyl Ether,,7.5
,,,,
71,Monomer,Sebacoyl Chloride,1000.00,
,Monomer,"Naphthalene-1,5-diol",608.24,
,Base,NaOH,197.66,
,Solvent,Water,,7.5
,Solvent,hexanes,,7.5
,,,,
72,Monomer,Succinyl Chloride,1105.13,
,Monomer,2-Hydroxyethyl disulfide,1000.00,
,Base,NaOH,337.09,
,Solvent,Water,,7.5
,Solvent,Diisopropyl Ether,,7.5
,,,,
73,Monomer,Isophthaloyl Chloride,978.24,
,Monomer,Bisphenol A,1000.00,
,Base,pyridine,450.44,
,Solvent,DMF,,7.5
,Solvent,Diisopropyl Ether,,7.5
,,,,
74,Monomer,Isophthaloyl Chloride,644.56,
,Monomer,"1,3-Bis[2-(4-hydroxyphenyl)-2-propyl]benzene",1000.00,
,Base,pyridine,296.79,
,Solvent,DMF,,7.5
,Solvent,Diisopropyl Ether,,7.5
,,,,
75,Monomer,Isophthaloyl Chloride,769.12,
,Monomer,"4,4′-(alpha-Methylbenzylidene)bisphenol",1000.00,
,Base,pyridine,354.14,
,Solvent,DMF,,7.5
,Solvent,Diisopropyl Ether,,7.5
,,,,
76,Monomer,Isophthaloyl Chloride,892.32,
