Polymer Number,Reagent Role,Reagent,Mass,Volume
,,,mg,mL
,catalyst,Ti(Opr)4,2.40,
,,,,
298,monomer,pimelic acid,1356.34,
,monomer,"1,3-Propanediol",708.77,
,catalyst,Ti(Opr)4,2.40,
,,,,
299,monomer,pimelic acid,1356.34,
,monomer,"1,4-Butanediol",801.30,
,catalyst,Ti(Opr)4,2.40,
,,,,
300,monomer,Succinic acid,1000.00,
,monomer,ethylene glycol,630.74,
,catalyst,Ti(Opr)4,2.40,
,,,,
302,monomer,Succinic acid,1000.00,
,monomer,"1,10-decanediol",1475.82,
,catalyst,Ti(Opr)4,2.40,
,,,,
303,monomer,Succinic acid,1000.00,
,monomer,"1,3-Propanediol",708.77,
,catalyst,Ti(Opr)4,2.40,
,,,,
304,monomer,Succinic acid,1000.00,
,monomer,"1,4-Butanediol",801.30,
,catalyst,Ti(Opr)4,2.40,
,,,,
305,monomer,Succinic acid,1000.00,
,monomer,"1,5-pentanediol",881.95,
,catalyst,Ti(Opr)4,2.40,
,,,,
306,monomer,Succinic acid,1000.00,
,monomer,"1,6-Hexanediol",1000.68,
,catalyst,Ti(Opr)4,2.40,
,,,,
307,monomer,Succinic acid,1000.00,
,monomer,"2,5-hexanediol(+isomers)",1000.68,
,catalyst,Ti(Opr)4,2.40,
,,,,
308,monomer,Succinic acid,1000.00,
,monomer,"3-methyl-1,5-pentanediol",1000.68,
,catalyst,Ti(Opr)4,2.40,
,,,,
309,monomer,Succinic acid,1000.00,
,monomer,"1,7-heptanediol",1119.49,
,catalyst,Ti(Opr)4,2.40,
,,,,
310,monomer,Succinic acid,1000.00,
,monomer,"1,8-octanediol",1238.29,
,catalyst,Ti(Opr)4,2.40,
,,,,
311,monomer,glutaric acid,1118.72,
,monomer,ethylene glycol,630.74,
,catalyst,Ti(Opr)4,2.40,
,,,,
312,monomer,glutaric acid,1118.72,
,monomer,"1,10-decanediol",1475.82,
,catalyst,Ti(Opr)4,2.40,
,,,,
313,monomer,azelaic acid,1593.87,
,monomer,"1,8-octanediol",1238.29,
,catalyst,Ti(Opr)4,2.40,
,,,,
314,monomer,glutaric acid,1118.72,
,monomer,"1,3-Propanediol",708.77,
,catalyst,Ti(Opr)4,2.40,
,,,,
315,monomer,glutaric acid,1118.72,
,monomer,"1,4-Butanediol",801.30,
,catalyst,Ti(Opr)4,2.40,
,,,,
316,monomer,glutaric acid,1118.72,
,monomer,"1,5-pentanediol",881.95,
,catalyst,Ti(Opr)4,2.40,
,,,,
317,monomer,glutaric acid,1118.72,
,monomer,"1,6-Hexanediol",1000.68,
,catalyst,Ti(Opr)4,2.40,
,,,,
318,monomer,glutaric acid,1118.72,
,monomer,"3-methyl-1,5-pentanediol",1000.68,
,catalyst,Ti(Opr)4,2.40,
,,,,
319,monomer,glutaric acid,1118.72,
,monomer,"1,7-heptanediol",1119.49,
,catalyst,Ti(Opr)4,2.40,
,,,,
320,monomer,glutaric acid,1118.72,
,monomer,"1,8-octanediol",1238.29,
,catalyst,Ti(Opr)4,2.40,
,,,,
321,monomer,glutaric acid,1118.72,
,monomer,"1,9-nonanediol",1357.02,
,catalyst,Ti(Opr)4,2.40,
,,,,
322,monomer,Adipic acid,1237.53,
,monomer,ethylene glycol,630.74,
,catalyst,Ti(Opr)4,2.40,
,,,,
323,monomer,Adipic acid,1237.53,
,monomer,"1,10-decanediol",1475.82,
,catalyst,Ti(Opr)4,2.40,
,,,,
324,monomer,azelaic acid,1593.87,
,monomer,"1,9-nonanediol",1357.02,
,catalyst,Ti(Opr)4,2.40,
,,,,
325,monomer,Adipic acid,1237.53,
,monomer,"1,3-Propanediol",708.77,
,catalyst,Ti(Opr)4,2.40,
,,,,
326,monomer,Adipic acid,1237.53,
,monomer,"1,4-Butanediol",801.30,
,catalyst,Ti(Opr)4,2.40,
,,,,
327,monomer,Adipic acid,1237.53,
,monomer,"1,5-pentanediol",881.95,
,catalyst,Ti(Opr)4,2.40,
,,,,
328,monomer,Adipic acid,1237.53,
,monomer,"1,6-Hexanediol",1000.68,
,catalyst,Ti(Opr)4,2.40,
,,,,
329,monomer,Adipic acid,1237.53,
,monomer,"3-methyl-1,5-pentanediol",1000.68,
,catalyst,Ti(Opr)4,2.40,
,,,,
330,monomer,Adipic acid,1237.53,
,monomer,"1,7-heptanediol",1119.49,
,catalyst,Ti(Opr)4,2.40,
,,,,
331,monomer,Adipic acid,1237.53,
,monomer,"1,8-octanediol",1238.29,
,catalyst,Ti(Opr)4,2.40,
,,,,
332,monomer,Adipic acid,1237.53,
,monomer,"1,9-nonanediol",1357.02,
,catalyst,Ti(Opr)4,2.40,
,,,,
333,monomer,Isophthalic acid,1406.88,
,monomer,ethylene glycol,630.74,
,catalyst,Ti(Opr)4,2.40,
,,,,
334,monomer,Isophthalic acid,1406.88,
,monomer,"1,10-decanediol",1475.82,
,catalyst,Ti(Opr)4,2.40,
,,,,
335,monomer,Isophthalic acid,1406.88,
,monomer,"1,2-Propanediol",773.31,
,catalyst,Ti(Opr)4,2.40,
,,,,
336,monomer,Isophthalic acid,1406.88,
,monomer,"1,3-Propanediol",708.77,
,catalyst,Ti(Opr)4,2.40,
,,,,
337,monomer,Isophthalic acid,1406.88,
,monomer,"1,4-Butanediol",801.30,
,catalyst,Ti(Opr)4,2.40,
,,,,
338,monomer,Isophthalic acid,1406.88,
,monomer,"1,5-pentanediol",881.95,
,catalyst,Ti(Opr)4,2.40,
,,,,
339,monomer,Isophthalic acid,1406.88,
,monomer,"1,6-Hexanediol",1000.68,
,catalyst,Ti(Opr)4,2.40,
,,,,
340,monomer,Isophthalic acid,1406.88,
,monomer,"3-methyl-1,5-pentanediol",1000.68,
,catalyst,Ti(Opr)4,2.40,
,,,,
341,monomer,Isophthalic acid,1406.88,
,monomer,"1,7-heptanediol",1119.49,
,catalyst,Ti(Opr)4,2.40,
,,,,
342,monomer,Isophthalic acid,1406.88,
,monomer,"1,8-octanediol",1238.29,
,catalyst,Ti(Opr)4,2.40,
,,,,
343,monomer,Isophthalic acid,1406.88,
,monomer,"1,9-nonanediol",1357.02,
,catalyst,Ti(Opr)4,2.40,
,,,,
344,monomer,Terephthaloyl Chloride,860.00,
,monomer,"1,10-decanediol",174.28,
,catalyst,pyridine,4675.40,
,,,,
345,monomer,"1,4-Cyclohexanedicarboxylic acid",1500.00,
,monomer,"2,2,4-Trimethyl-1,3-pentanediol ",1337.62,
,catalyst,Ti(Opr)4,,0.05
,,,,
346,monomer,Isophthalic acid,2000.00,
,monomer,"1,2-Propanediol",961.96,
,catalyst,Ti(Opr)4,,0.05
,,,,
347,monomer,[(Carboxymethyl)(methyl)amino]acetic acid,1000.00,
,monomer,"2,2,4-Trimethyl-1,3-pentanediol",1154.00,
,catalyst,Ti(Opr)4,,0.05
,,,,
348,monomer,"2,6-Naphthalenedicarboxylic Acid",1000.00,
,monomer,"2,2,4-Trimethyl-1,3-pentanediol",710.00,
,catalyst,Ti(Opr)4,,0.05
,,,,
349,monomer,"2,6-Naphthalenedicarboxylic Acid",1000.00,
,monomer,"1,4-Butanediol",438.00,
,catalyst,Ti(Opr)4,,0.05
,,,,
350,monomer,"2,2′-Thiodiacetic acid",1000.00,
,monomer,"1,5-pentanediol",728.00,
,catalyst,Ti(Opr)4,,0.05
,,,,
351,monomer,"1,4-Cyclohexanedicarboxylic acid",1000.00,
,monomer,"1,5-pentanediol",635.00,
,catalyst,Ti(Opr)4,,0.05
,,,,
352,monomer,[(Carboxymethyl)(methyl)amino]acetic acid,1000.00,
,monomer,"1,5-pentanediol",822.00,
,catalyst,Ti(Opr)4,,0.05
,,,,
353,monomer,"2,6-Naphthalenedicarboxylic Acid",1000.00,
,monomer,"1,5-pentanediol",506.00,
,catalyst,Ti(Opr)4,,0.05
,,,,
354,monomer,"1,4-Cyclohexanedicarboxylic acid",1000.00,
,monomer,"1,6-Hexanediol",721.00,
,catalyst,Ti(Opr)4,,0.05
,,,,
355,monomer,"2,6-Naphthalenedicarboxylic Acid",1000.00,
,monomer,"1,6-Hexanediol",574.00,
,catalyst,Ti(Opr)4,,0.05
,,,,
356,monomer,Isophthalic acid,2000.00,
,monomer,"2,3-Butanediol",1139.18,
,catalyst,Ti(Opr)4,,0.05
,,,,
357,monomer,"1,4-Cyclohexanedicarboxylic acid",1000.00,
,monomer,"1,7-heptanediol",806.00,
,catalyst,Ti(Opr)4,,0.05
,,,,
358,monomer,"2,6-Naphthalenedicarboxylic Acid",1000.00,
,monomer,"1,7-heptanediol",642.00,
,catalyst,Ti(Opr)4,,0.05
,,,,
359,monomer,"1,4-Cyclohexanedicarboxylic acid",1000.00,
,monomer,"1,8-octanediol",849.00,
,catalyst,Ti(Opr)4,,0.05
,,,,
360,monomer,[(Carboxymethyl)(methyl)amino]acetic acid,1000.00,
,monomer,"1,8-octanediol",1099.00,
,catalyst,Ti(Opr)4,,0.05
,,,,
361,monomer,"2,6-Naphthalenedicarboxylic Acid",1000.00,
,monomer,"1,8-octanediol",676.00,
,catalyst,Ti(Opr)4,,0.05
,,,,
362,monomer,glutaric acid,1000.00,
,monomer,"1,4-Cyclohexanedimethanol",1081.00,
,catalyst,Ti(Opr)4,,0.05
,,,,
363,monomer,"2,6-Naphthalenedicarboxylic Acid",1000.00,
,monomer,"1,4-Cyclohexanedimethanol",667.00,
,catalyst,Ti(Opr)4,,0.05
,,,,
364,monomer,"2,2′-Thiodiacetic acid",1000.00,
,monomer,"1,9-nonanediol",1067.00,
,catalyst,Ti(Opr)4,,0.05
,,,,
365,monomer,"1,4-Cyclohexanedicarboxylic acid",1000.00,
,monomer,"1,9-nonanediol",931.00,
,catalyst,Ti(Opr)4,,0.05
,,,,
366,monomer,Isophthalic acid,1000.00,
,monomer,"1,4-Cyclohexanediol",734.42,
,catalyst,Ti(Opr)4,,0.05
,,,,
367,monomer,"2,6-Naphthalenedicarboxylic Acid",1000.00,
,monomer,"1,9-nonanediol",741.00,
,catalyst,Ti(Opr)4,,0.05
,,,,
368,monomer,pimelic acid,1000.00,
,monomer,"1,10-decanediol",1077.00,
,catalyst,Ti(Opr)4,,0.05
,,,,
369,monomer,sebacic acid,1000.00,
,monomer,"2-Methyl-1,3-propanediol",395.00,
,catalyst,Ti(Opr)4,,0.05
,,,,
370,monomer,sebacic acid,1000.00,
,monomer,"4,4′-Isopropylidenedicyclohexanol, mixture of isomers",1200.00,
,catalyst,Ti(Opr)4,,0.05
,,,,
371,monomer,sebacic acid,1000.00,
,monomer,"2,2,4-Trimethyl-1,3-pentanediol",730.00,
,catalyst,Ti(Opr)4,,0.05
,,,,
372,monomer,sebacic acid,1000.00,
,monomer,"1,4-Butanediol",450.00,
,catalyst,Ti(Opr)4,,0.05
,,,,
373,monomer,sebacic acid,1000.00,
,monomer,"1,5-pentanediol",520.00,
,catalyst,Ti(Opr)4,,0.05
,,,,
374,monomer,pimelic acid,1000.00,
,monomer,"4,4′-Isopropylidenedicyclohexanol, mixture of isomers",1501.00,
,catalyst,Ti(Opr)4,,0.05
,,,,
375,monomer,glutaric acid,1000.00,
,monomer,"2-Methyl-1,3-propanediol",750.32,
,catalyst,Ti(Opr)4,,0.05
,,,,
376,monomer,azelaic acid,1000.00,
,monomer,"4,4′-Isopropylidenedicyclohexanol, mixture of isomers",1290.00,
,catalyst,Ti(Opr)4,,0.05
,,,,
377,monomer,pimelic acid,1000.00,
,monomer,"2,2,4-Trimethyl-1,3-pentanediol",913.00,
,catalyst,Ti(Opr)4,,0.05
,,,,
378,monomer,azelaic acid,1000.00,
,monomer,"2,2,4-Trimethyl-1,3-pentanediol",785.00,
,catalyst,Ti(Opr)4,,0.05
,,,,
379,monomer,pimelic acid,1000.00,
,monomer,"1,6-Hexanediol",730.00,
,catalyst,Ti(Opr)4,,0.05
,,,,
380,monomer,azelaic acid,1000.00,
,monomer,"1,6-Hexanediol",628.00,
,catalyst,Ti(Opr)4,,0.05
,,,,
381,monomer,sebacic acid,1000.00,
,monomer,"1,6-Hexanediol",584.00,
,catalyst,Ti(Opr)4,,0.05
,,,,
382,monomer,sebacic acid,1000.00,
,monomer,"1,7-heptanediol",654.00,
,catalyst,Ti(Opr)4,,0.05
,,,,
383,monomer,pimelic acid,1000.00,
,monomer,"1,8-octanediol",913.00,
,catalyst,Ti(Opr)4,,0.05
,,,,
384,monomer,pimelic acid,1000.00,
,monomer,"2-Methyl-1,3-propanediol",618.92,
,catalyst,Ti(Opr)4,,0.05
,,,,
385,monomer,sebacic acid,1000.00,
,monomer,"1,8-octanediol",723.00,
,catalyst,Ti(Opr)4,,0.05
,,,,
386,monomer,pimelic acid,1000.00,
,monomer,"1,4-Cyclohexanedimethanol",891.00,
,catalyst,Ti(Opr)4,,0.05
,,,,
387,monomer,azelaic acid,1000.00,
,monomer,"1,4-Cyclohexanedimethanol",766.00,
,catalyst,Ti(Opr)4,,0.05
,,,,
388,monomer,sebacic acid,1000.00,
,monomer,"1,4-Cyclohexanedimethanol",713.00,
,catalyst,Ti(Opr)4,,0.05
,,,,
389,monomer,pimelic acid,1000.00,
,monomer,"1,9-nonanediol",990.00,
,catalyst,Ti(Opr)4,,0.05
,,,,
390,monomer,sebacic acid,1000.00,
,monomer,"1,9-nonanediol",792.00,
,catalyst,Ti(Opr)4,,0.05
,,,,
391,monomer,sebacic acid,1000.00,
,monomer,"1,10-decanediol",862.00,
,catalyst,Ti(Opr)4,,0.05
,,,,
392,monomer,pimelic acid,1000.00,
,monomer,Diethylene Glycol,662.55,
,catalyst,Ti(Opr)4,,0.05
,,,,
393,monomer,azelaic acid,1000.00,
,monomer,Diethylene Glycol,563.81,
,catalyst,Ti(Opr)4,,0.05
,,,,
394,monomer,sebacic acid,1000.00,
,monomer,Diethylene Glycol,524.70,
,catalyst,Ti(Opr)4,,0.05
,,,,
395,monomer,"2,2′-Thiodiacetic acid",1000.00,
,monomer,"2-Methyl-1,3-propanediol",660.22,
,catalyst,Ti(Opr)4,,0.05
,,,,
396,monomer,"1,4-Cyclohexanedicarboxylic acid",1000.00,
,monomer,Diethylene Glycol,616.33,
,catalyst,Ti(Opr)4,,0.05
,,,,
397,monomer,"2,6-Naphthalenedicarboxylic Acid",1000.00,
,monomer,Diethylene Glycol,490.86,
,catalyst,Ti(Opr)4,,0.05
,,,,
398,monomer,glutaric acid,1000.00,
,monomer,Diethylene Glycol,803.21,
,catalyst,Ti(Opr)4,,0.05
,,,,
399,monomer,"2,2′-Thiodiacetic acid",1000.00,
,monomer,Diethylene Glycol,706.76,
,catalyst,Ti(Opr)4,,0.05
,,,,
400,monomer,Isophthalic acid,2000.00,
,monomer,Diethylene Glycol,1277.55,
,catalyst,Ti(Opr)4,,0.05
,,,,
401,monomer,suberic acid,1000.00,
,monomer,Diethylene Glycol,609.22,
,catalyst,Ti(Opr)4,,0.05
,,,,
402,monomer,Adipic acid,1000.00,
,monomer,Diethylene Glycol,726.15,
,catalyst,Ti(Opr)4,,0.05
,,,,
403,monomer,azelaic acid,1000.00,
,monomer,"2-Methyl-1,3-propanediol",526.68,
,catalyst,Ti(Opr)4,,0.05
,,,,
404,monomer,azelaic acid,1000.00,
,monomer,Triethylene Glycol,877.63,
,catalyst,Ti(Opr)4,,0.05
,,,,
405,monomer,sebacic acid,1000.00,
,monomer,Triethylene Glycol,816.75,
,catalyst,Ti(Opr)4,,0.05
,,,,
406,monomer,"1,4-Cyclohexanedicarboxylic acid",1000.00,
,monomer,Triethylene Glycol,959.39,
,catalyst,Ti(Opr)4,,0.05
,,,,
407,monomer,"2,6-Naphthalenedicarboxylic Acid",1000.00,
,monomer,Triethylene Glycol,764.08,
,catalyst,Ti(Opr)4,,0.05
,,,,
408,monomer,"2,2′-Thiodiacetic acid",1000.00,
,monomer,Triethylene Glycol,1100.15,
,catalyst,Ti(Opr)4,,0.05
,,,,
409,monomer,"1,4-Cyclohexanedicarboxylic acid",1000.00,
,monomer,"2-Methyl-1,3-propanediol",575.75,
,catalyst,Ti(Opr)4,,0.05
,,,,
410,monomer,suberic acid,1000.00,
,monomer,Triethylene Glycol,948.32,
,catalyst,Ti(Opr)4,,0.05
,,,,
411,monomer,Adipic acid,1000.00,
,monomer,Triethylene Glycol,1130.33,
,catalyst,Ti(Opr)4,,0.05
,,,,
412,monomer,pimelic acid,1120.00,
,monomer,Tripropylene glycol,1344.32,
,catalyst,Ti(Opr)4,,0.05
,,,,
413,monomer,azelaic acid,1000.00,
,monomer,Tripropylene glycol,1021.41,
,catalyst,Ti(Opr)4,,0.05
,,,,
414,monomer,sebacic acid,1000.00,
,monomer,Tripropylene glycol,950.56,
,catalyst,Ti(Opr)4,,0.05
,,,,
415,monomer,"1,4-Cyclohexanedicarboxylic acid",1000.00,
,monomer,Tripropylene glycol,1116.56,
,catalyst,Ti(Opr)4,,0.05
,,,,
416,monomer,glutaric acid,1000.00,
,monomer,Tripropylene glycol,1455.12,
,catalyst,Ti(Opr)4,,0.05
,,,,
417,monomer,"2,2′-Thiodiacetic acid",1000.00,
,monomer,Tripropylene glycol,1280.39,
,catalyst,Ti(Opr)4,,0.05
,,,,
418,monomer,suberic acid,1000.00,
,monomer,Tripropylene glycol,1103.68,
,catalyst,Ti(Opr)4,,0.05
,,,,
419,monomer,Succinic acid,1000.00,
,monomer,Tripropylene glycol,1628.00,
,catalyst,Ti(Opr)4,,0.05
,,,,
420,monomer,azelaic acid,1000.00,
,monomer,Dipropylene Glycol,712.84,
,catalyst,Ti(Opr)4,,0.05
,,,,
421,monomer,sebacic acid,1000.00,
,monomer,Dipropylene Glycol,663.39,
,catalyst,Ti(Opr)4,,0.05
,,,,
422,monomer,"1,4-Cyclohexanedicarboxylic acid",1000.00,
,monomer,Dipropylene Glycol,779.24,
,catalyst,Ti(Opr)4,,0.05
,,,,
423,monomer,"2,6-Naphthalenedicarboxylic Acid",1065.00,
,monomer,Dipropylene Glycol,660.95,
,catalyst,Ti(Opr)4,,0.05
,,,,
424,monomer,glutaric acid,1000.00,
,monomer,Dipropylene Glycol,1015.52,
,catalyst,Ti(Opr)4,,0.05
,,,,
425,monomer,"2,2′-Thiodiacetic acid",1000.00,
,monomer,Dipropylene Glycol,893.57,
,catalyst,Ti(Opr)4,,0.05
,,,,
426,monomer,Diglycolic acid,1000.00,
,monomer,Dipropylene Glycol,1050.63,
,catalyst,Ti(Opr)4,,0.05
,,,,
427,monomer,Adipic acid,1000.00,
,monomer,Dipropylene Glycol,964.00,
,catalyst,Ti(Opr)4,,0.05
,,,,
428,monomer,Isophthalic acid,1000.00,
,monomer,"2,2-Diethyl-1,3-propanediol",835.55,
,catalyst,Ti(Opr)4,,0.05
,,,,
429,monomer,azelaic acid,1000.00,
,monomer,"2,2′-Thiodiethanol",649.19,
,catalyst,Ti(Opr)4,,0.05
,,,,
430,monomer,sebacic acid,1000.00,
,monomer,"2,2′-Thiodiethanol",604.15,
,catalyst,Ti(Opr)4,,0.05
,,,,
431,monomer,"1,4-Cyclohexanedicarboxylic acid",1000.00,
,monomer,"2,2′-Thiodiethanol",709.66,
,catalyst,Ti(Opr)4,,0.05
,,,,
432,monomer,glutaric acid,1000.00,
,monomer,"2,2′-Thiodiethanol",924.84,
,catalyst,Ti(Opr)4,,0.05
,,,,
433,monomer,"2,2′-Thiodiacetic acid",1000.00,
,monomer,"2,2′-Thiodiethanol",813.79,
,catalyst,Ti(Opr)4,,0.05
,,,,
434,monomer,"2,2′-[ethylenebis(oxy)] bisacetic acid",1000.00,
,monomer,"2,2′-Thiodiethanol",685.92,
,catalyst,Ti(Opr)4,,0.05
,,,,
435,monomer,Diglycolic acid,1000.00,
,monomer,"2,2′-Thiodiethanol",956.82,
,catalyst,Ti(Opr)4,,0.05
,,,,
436,monomer,Isophthalic acid,2000.00,
,monomer,"2,2′-Thiodiethanol",1471.02,
,catalyst,Ti(Opr)4,,0.05
,,,,
437,monomer,Adipic acid,1000.00,
,monomer,"2,2′-Thiodiethanol",836.12,
,catalyst,Ti(Opr)4,,0.05
,,,,
438,monomer,glutaric acid,1000.00,
,monomer,"1,4-Cyclohexanediol",967.05,
,catalyst,Ti(Opr)4,,0.05
,,,,
439,monomer,Succinic acid,1000.00,
,monomer,"2,2′-Thiodiethanol",1034.72,
,catalyst,Ti(Opr)4,,0.05
,,,,
440,monomer,azelaic acid,1000.00,
,monomer,Guaiacol glyceryl ether,1053.13,
,catalyst,Ti(Opr)4,,0.05
,,,,
441,monomer,sebacic acid,1000.00,
,monomer,Guaiacol glyceryl ether,980.07,
,catalyst,Ti(Opr)4,,0.05
,,,,
442,monomer,"1,4-Cyclohexanedicarboxylic acid",1000.00,
,monomer,Guaiacol glyceryl ether,1151.24,
,catalyst,Ti(Opr)4,,0.05
,,,,
443,monomer,glutaric acid,1000.00,
,monomer,Guaiacol glyceryl ether,1500.30,
,catalyst,Ti(Opr)4,,0.05
,,,,
444,monomer,"2,2′-Thiodiacetic acid",1000.00,
,monomer,Guaiacol glyceryl ether,1320.15,
,catalyst,Ti(Opr)4,,0.05
,,,,
445,monomer,"2,2′-[ethylenebis(oxy)] bisacetic acid",1000.00,
,monomer,Guaiacol glyceryl ether,1112.72,
,catalyst,Ti(Opr)4,,0.05
,,,,
446,monomer,Diglycolic acid,1000.00,
,monomer,Guaiacol glyceryl ether,1478.26,
,catalyst,Ti(Opr)4,,0.05
,,,,
447,monomer,Adipic acid,1000.00,
,monomer,Guaiacol glyceryl ether,1356.37,
,catalyst,Ti(Opr)4,,0.05
,,,,
448,monomer,pimelic acid,1000.00,
,monomer,"1,4-Cyclohexanediol",797.75,
,catalyst,Ti(Opr)4,,0.05
,,,,
449,monomer,Succinic acid,1000.00,
,monomer,Guaiacol glyceryl ether,1678.55,
,catalyst,Ti(Opr)4,,0.05
,,,,
450,monomer,azelaic acid,1000.00,
,monomer,"1,4-Dithiane-2,5-diol",808.84,
,catalyst,Ti(Opr)4,,0.05
,,,,
451,monomer,"1,4-Cyclohexanedicarboxylic acid",1000.00,
,monomer,"1,4-Dithiane-2,5-diol",928.40,
,catalyst,Ti(Opr)4,,0.05
,,,,
452,monomer,glutaric acid,1000.00,
,monomer,"1,4-Dithiane-2,5-diol",1152.29,
,catalyst,Ti(Opr)4,,0.05
,,,,
453,monomer,"2,2′-Thiodiacetic acid",1000.00,
,monomer,"1,4-Dithiane-2,5-diol",1013.92,
,catalyst,Ti(Opr)4,,0.05
,,,,
454,monomer,"2,2′-[ethylenebis(oxy)] bisacetic acid",1000.00,
,monomer,"1,4-Dithiane-2,5-diol",854.61,
,catalyst,Ti(Opr)4,,0.05
,,,,
455,monomer,Diglycolic acid,1000.00,
,monomer,"1,4-Dithiane-2,5-diol",1135.36,
,catalyst,Ti(Opr)4,,0.05
,,,,
456,monomer,Isophthalic acid,2000.00,
,monomer,"1,4-Dithiane-2,5-diol",1832.78,
,catalyst,Ti(Opr)4,,0.05
,,,,
457,monomer,pimelic acid,1000.00,
,monomer,"3-methyl-1,5-pentanediol",811.63,
,catalyst,Ti(Opr)4,,0.05
,,,,
458,monomer,Succinic acid,1000.00,
,monomer,"1,4-Dithiane-2,5-diol",1289.19,
,catalyst,Ti(Opr)4,,0.05
,,,,
459,monomer,"quinoline-2,4-dicarboxylic acid",1000.00,
,monomer,Tripropylene glycol,929.47,
,catalyst,Ti(Opr)4,,0.05
,,,,
460,monomer,"quinoline-2,4-dicarboxylic acid",1000.00,
,monomer,"4,4′-Isopropylidenedicyclohexanol, mixture of isomers",1106.82,
,catalyst,Ti(Opr)4,,0.05
,,,,
461,monomer,"quinoline-2,4-dicarboxylic acid",1000.00,
,monomer,"1,4-Cyclohexanediol",561.59,
,catalyst,Ti(Opr)4,,0.05
,,,,
462,monomer,"quinoline-2,4-dicarboxylic acid",1000.00,
,monomer,"2,2,4-Trimethyl-1,3-pentanediol",740.14,
,catalyst,Ti(Opr)4,,0.05
,,,,
463,monomer,"quinoline-2,4-dicarboxylic acid",1000.00,
,monomer,"2,2-Dimethyl-1,3-propanediol",527.50,
,catalyst,Ti(Opr)4,,0.05
,,,,
464,monomer,"quinoline-2,4-dicarboxylic acid",1000.00,
,monomer,"2-Methyl-1,3-propanediol",456.45,
,catalyst,Ti(Opr)4,,0.05
,,,,
465,monomer,"quinoline-2,4-dicarboxylic acid",1000.00,
,monomer,"1,2-Propanediol",385.39,
,catalyst,Ti(Opr)4,,0.05
,,,,
466,monomer,"quinoline-2,4-dicarboxylic acid",1000.00,
,monomer,"4,8-Bis(hydroxymethyl)tricyclo[5.2.1.02,6]decane",949.00,
,catalyst,Ti(Opr)4,,0.05
,,,,
467,monomer,"quinoline-2,4-dicarboxylic acid",1000.00,
,monomer,"2,2-Diethyl-1,3-propanediol",669.58,
,catalyst,Ti(Opr)4,,0.05
,,,,
468,monomer,"2,2′-Thiodiacetic acid",1000.00,
,monomer,"2-Methyl-1,3-propanediol",660.22,
,catalyst,Ti(Opr)4,,0.05
,,,,
469,monomer,"quinoline-2,4-dicarboxylic acid",1000.00,
,monomer,"2-Butyl-2-ethyl-1,3-propanediol",774.76,
,catalyst,Ti(Opr)4,,0.05
,,,,
470,monomer,"quinoline-2,4-dicarboxylic acid",1000.00,
,monomer,"1,10-decanediol",810.49,
,catalyst,Ti(Opr)4,,0.05
,,,,
471,monomer,"quinoline-2,4-dicarboxylic acid",1000.00,
,monomer,"1,9-nonanediol",774.76,
,catalyst,Ti(Opr)4,,0.05
,,,,
472,monomer,"quinoline-2,4-dicarboxylic acid",1000.00,
,monomer,"1,8-octanediol",706.96,
,catalyst,Ti(Opr)4,,0.05
,,,,
473,monomer,"quinoline-2,4-dicarboxylic acid",1000.00,
,monomer,"1,6-Hexanediol",571.32,
,catalyst,Ti(Opr)4,,0.05
,,,,
474,monomer,"quinoline-2,4-dicarboxylic acid",1000.00,
,monomer,"1,5-pentanediol",503.52,
,catalyst,Ti(Opr)4,,0.05
,,,,
475,monomer,"quinoline-2,4-dicarboxylic acid",1000.00,
,monomer,"1,4-Butanediol",435.71,
,catalyst,Ti(Opr)4,,0.05
,,,,
476,monomer,"quinoline-2,4-dicarboxylic acid",1000.00,
,monomer,"1,3-Propanediol",385.39,
,catalyst,Ti(Opr)4,,0.05
,,,,
477,monomer,"quinoline-2,4-dicarboxylic acid",1000.00,
,monomer,ethylene glycol,314.38,
,catalyst,Ti(Opr)4,,0.05
,,,,
478,monomer,azelaic acid,1000.00,
,monomer,"1,4-Cyclohexanediol",648.01,
,catalyst,Ti(Opr)4,,0.05
,,,,
479,monomer,"quinoline-2,4-dicarboxylic acid",1000.00,
,monomer,"2,2-Diethyl-1,3-propanediol",669.58,
,catalyst,Ti(Opr)4,,0.05
,,,,
480,monomer,"quinoline-2,4-dicarboxylic acid",1000.00,
,monomer,Triethylene Glycol,760.60,
,catalyst,Ti(Opr)4,,0.05
,,,,
481,monomer,"quinoline-2,4-dicarboxylic acid",1000.00,
,monomer,"3-methyl-1,5-pentanediol",598.52,
,catalyst,Ti(Opr)4,,0.05
,,,,
482,monomer,"2,5-furandicarboxylic acid methyl ester",500.00,
,monomer,"1,5-pentanediol",311.10,
,catalyst,Ti(Opr)4,,0.02
,catalyst,TBT,,0.02
,,,,
483,monomer,"2,5-furandicarboxylic acid methyl ester",500.00,
,monomer,"1,4-butanediol",269.20,
,catalyst,Ti(Opr)4,,0.02
,catalyst,TBT,,0.02
,,,,
484,monomer,"2,5-furandicarboxylic acid methyl ester",500.00,
,monomer,"1,6-hexanediol",352.90,
,catalyst,Ti(Opr)4,,0.02
,catalyst,TBT,,0.02
,,,,
485,monomer,"2,5-furandicarboxylic acid methyl ester",500.00,
,monomer,ethylene glycol,185.40,
,catalyst,Ti(Opr)4,,0.02
,catalyst,TBT,,0.02
,,,,
486,monomer,"2,5-furandicarboxylic acid methyl ester",500.00,
